"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NHPC","EQ","04-Mar-2024","90.45","91.00","91.45","88.80","89.00","89.10","89.31","5,25,74,324","4,69,55,84,042.10","1,97,074","1,91,12,649","36.35"
"NHPC","N2","04-Mar-2024","1,206.70","1,288.80","1,288.80","1,207.00","1,207.00","1,207.00","1,247.90","2","2,495.80","2","1","50.00"
"NHPC","N5","04-Mar-2024","1,200.27","1,205.00","1,205.00","1,205.00","1,205.00","1,205.00","1,205.00","200","2,41,000.00","2","200","100.00"
"NHPC","EQ","05-Mar-2024","89.10","89.00","93.20","88.20","93.00","92.45","91.48","11,52,53,956","10,54,35,02,284.65","3,08,106","3,15,74,176","27.40"
"NHPC","EQ","06-Mar-2024","92.45","93.60","95.50","90.80","91.50","91.50","92.52","12,01,74,834","11,11,84,26,915.45","3,60,614","2,84,54,847","23.68"
"NHPC","N2","06-Mar-2024","1,207.00","1,207.00","1,207.00","1,207.00","1,207.00","1,207.00","1,207.00","3","3,621.00","1","3","100.00"
"NHPC","N6","06-Mar-2024","1,375.00","1,340.00","1,385.00","1,340.00","1,385.00","1,378.90","1,361.45","183","2,49,146.03","5","173","94.54"
"NHPC","EQ","07-Mar-2024","91.50","91.50","91.55","89.75","90.15","90.05","90.62","5,95,75,340","5,39,84,86,722.00","1,90,226","1,71,19,108","28.74"
"NHPC","EQ","11-Mar-2024","90.05","90.60","91.95","89.35","89.90","90.15","90.67","6,34,63,093","5,75,40,35,229.75","2,14,023","1,46,90,391","23.15"
"NHPC","N3","11-Mar-2024","1,324.10","1,324.10","1,325.00","1,324.10","1,325.00","1,325.00","1,324.17","38","50,318.50","3","38","100.00"
"NHPC","N5","11-Mar-2024","1,205.00","1,205.00","1,205.00","1,205.00","1,205.00","1,205.00","1,205.00","1","1,205.00","1","1","100.00"
"NHPC","EQ","12-Mar-2024","90.15","89.95","90.45","86.30","86.50","86.65","87.75","6,53,79,094","5,73,72,18,381.50","2,46,173","1,61,50,734","24.70"
"NHPC","N5","12-Mar-2024","1,205.00","1,297.00","1,297.00","1,297.00","1,297.00","1,297.00","1,297.00","2","2,594.00","1","2","100.00"
